slug,name,category_id,definition,when_to_use,prompt_example,pairs_well_with,works_in,tier,images,status,source,date_added
lilac-femme,Lilac Femme,art-styles-movements,"Soft feminine styling built around lilac and lavender tones: dreamy, gentle, unapologetically pretty.",Use for portraits and flat-lays that need a signature purple softness.,"""portrait, lilac femme aesthetic""",pastel-palette;ethereal,midjourney;nano-banana-pro;gpt-image-2,free,,published,discord-archive-screenshots,2026-07-08
illustration,Illustration,art-styles-movements,General illustrated rendering: visible artistic interpretation rather than photographic realism.,"Use as a base style word when you want drawn, not photographed.","""cottage by a river, illustration""",watercolor;line-drawing,midjourney;nano-banana-pro;gpt-image-2,free,,published,discord-archive-screenshots,2026-07-08
cartoon,Cartoon,art-styles-movements,"Simplified, exaggerated character rendering with bold outlines and expressive features.","Use for friendly characters, mascots, and anything meant to make people smile fast.","""cartoon dog chef, simple shapes""",comic-art;pastel-palette,midjourney;nano-banana-pro;gpt-image-2,free,,published,discord-archive-screenshots,2026-07-08
rough-sketch-line-drawing,Rough Sketch Line Drawing,art-styles-movements,"Loose, energetic pencil or ink lines that look mid-thought; construction lines welcome.",Use for concept-art energy or when polish would kill the charm.,"""rough sketch line drawing of a dancer""",charcoal-sketch;doodle,midjourney;nano-banana-pro;gpt-image-2,free,,published,discord-archive-screenshots,2026-07-08
comic-art,Comic Art,art-styles-movements,"Bold inked panels, dynamic poses, halftone dots and action-ready composition.","Use for storytelling frames, hero shots, and graphic punch.","""superhero landing, comic art style""",cartoon;hard-edge-painting,midjourney;nano-banana-pro;gpt-image-2,free,,published,discord-archive-screenshots,2026-07-08
doodle,Doodle,art-styles-movements,"Playful margin-of-the-notebook drawing: loose, dense, and cheerfully unserious.","Use for pattern fills, sticker sheets, and hand-drawn warmth.","""page of doodles, coffee theme""",line-drawing;cartoon,midjourney;nano-banana-pro;gpt-image-2,free,,published,discord-archive-screenshots,2026-07-08
line-drawing,Line Drawing,art-styles-movements,Clean continuous linework with minimal or no shading; elegance through economy.,"Use for minimalist portraits, logos, and single-line sophistication.","""one line drawing of two hands""",illustration;muted-palette,midjourney;nano-banana-pro;gpt-image-2,free,,published,discord-archive-screenshots,2026-07-08
cybernetic-punk,Cybernetic Punk,art-styles-movements,"Flesh-and-machine rebellion: visible implants, wires, dystopian grit with attitude.",Use for hard sci-fi characters and street-level future scenes.,"""portrait with cybernetic arm, cyberpunk street""",biomechanical-art;neon-glow,midjourney;nano-banana-pro;gpt-image-2,free,,published,discord-archive-screenshots,2026-07-08
city-pop,City Pop,art-styles-movements,"1980s Japanese city-pop album art: airbrushed sunsets, convertibles, neon skylines, easy glamour.",Use for retro-cool urban scenes with a soundtrack you can almost hear.,"""night drive, city pop album art, 1984""",retro-70s;neon-glow,midjourney;nano-banana-pro;gpt-image-2,free,,published,discord-archive-screenshots,2026-07-08
cyber-fairy-grunge,Cyber Fairy Grunge,art-styles-movements,"Fairy grunge wired into the machine: glitching wings, LED moss, digital decay over woodland whimsy.",Use for tech-touched fantasy characters and glitchy forest scenes.,"""fairy with glitching wings, cyber fairy grunge""",fairy-grunge;neon-glow,midjourney;nano-banana-pro;gpt-image-2,free,,published,discord-archive-screenshots,2026-07-08
cybergrunge,Cybergrunge,art-styles-movements,"Digital decay aesthetics: corrupted textures, terminal green, grime rendered in pixels.",Use for dystopian graphics and anti-polish digital art.,"""portrait, cybergrunge, glitch texture""",grunge;binary-art,midjourney;nano-banana-pro;gpt-image-2,free,,published,discord-archive-screenshots,2026-07-08
country,Country,art-styles-movements,"Rural Americana warmth: barns, gingham, golden fields, porch-light hospitality.",Use for wholesome pastoral scenes and homestead moods.,"""farmhouse kitchen, country style""",golden-autumn;candid,midjourney;nano-banana-pro;gpt-image-2,free,,published,discord-archive-screenshots,2026-07-08
chic-modernist,Chic Modernist,art-styles-movements,"Clean modernist design with fashion polish: neutral palettes, sculptural furniture, quiet money.",Use for sophisticated interiors and minimalist lifestyle scenes.,"""living room, chic modernist interior""",muted-palette;editorial,midjourney;nano-banana-pro;gpt-image-2,free,,published,discord-archive-screenshots,2026-07-08
bubble-bujo,Bubble Bujo,art-styles-movements,"Bullet-journal bubble lettering: rounded, bold, friendly letterforms and sticker-like flourishes.","Use for hand-lettered headers, planners, and cheerful typographic art.","""title page lettering, bubble bujo style""",doodle;pastel-palette,midjourney;nano-banana-pro;gpt-image-2,free,,published,discord-archive-screenshots,2026-07-08
botanical-art,Botanical Art,art-styles-movements,"Precise, loving plant illustration in the tradition of scientific field guides.","Use for elegant plant studies, wall art, and herbarium moods.","""botanical art plate, foxglove study""",watercolor;victorian-era,midjourney;nano-banana-pro;gpt-image-2,free,,published,discord-archive-screenshots,2026-07-08
soft-grunge,Soft Grunge,art-styles-movements,"Grunge with the edges sanded: faded blacks, pastel accents, tumblr-era wistfulness.",Use for gentle rebellion in portraits and moody-but-kind scenes.,"""portrait, soft grunge, faded film""",grunge;muted-palette,midjourney;nano-banana-pro;gpt-image-2,free,,published,discord-archive-screenshots,2026-07-08
whimsigoth,Whimsigoth,art-styles-movements,"1990s witchy maximalism: celestial prints, jewel tones, tapestries, moons on everything.",Use for cozy-mystical interiors and characters with strong tarot energy.,"""bedroom interior, whimsigoth, celestial tapestry""",jewel-tones;candlelight,midjourney;nano-banana-pro;gpt-image-2,free,,published,discord-archive-screenshots,2026-07-08
yume-kawaii,Yume Kawaii,art-styles-movements,"Dreamy-cute Japanese style: pastel clouds, stars, and fairy-tale sweetness with a faint melancholy underneath.",Use for soft dreamy characters where cute carries a hint of ache.,"""pastel dreamscape portrait, yume kawaii""",dreamscape;pastel-palette,midjourney;nano-banana-pro;gpt-image-2,free,,published,discord-archive-screenshots,2026-07-08
alternative,Alternative,art-styles-movements,"Umbrella counterculture styling: band tees, piercings, DIY edge across subcultures.",Use as a modifier for portraits that should read outside the mainstream.,"""portrait, alternative fashion, 35mm""",grunge;emo,midjourney;nano-banana-pro;gpt-image-2,free,,published,discord-archive-screenshots,2026-07-08
analog,Analog,art-styles-movements,"Pre-digital texture: film grain, tape warble, prints with real physical history.",Use to warm digital images with tangible imperfection.,"""kitchen scene, analog photo, 1979""",film-photography;retro-70s,midjourney;nano-banana-pro;gpt-image-2,free,,published,discord-archive-screenshots,2026-07-08
assemblage,Assemblage,art-styles-movements,Three-dimensional collage: sculptures built from found objects glued into new meaning.,Use for textured mixed-object compositions and cabinet-of-curiosities energy.,"""portrait built from vintage objects, assemblage art""",found-object-art;mixed-media,midjourney;nano-banana-pro;gpt-image-2,free,,published,discord-archive-screenshots,2026-07-08
decalcomania,Decalcomania,art-styles-movements,"Paint pressed between surfaces and pulled apart, leaving branching accidental textures surrealists loved.",Use for organic abstract textures and dreamlike landscapes.,"""alien landscape, decalcomania texture""",dreamscape;oil-painting,midjourney;nano-banana-pro;gpt-image-2,free,,published,discord-archive-screenshots,2026-07-08
binary-art,Binary Art,art-styles-movements,"Imagery built from 1s and 0s: code as texture, data as portrait.",Use for tech subjects and digital-identity themes.,"""face formed from binary code, binary art""",ascii-art;abstract-tech,midjourney;nano-banana-pro;gpt-image-2,free,,published,discord-archive-screenshots,2026-07-08
furry-art,Furry Art,art-styles-movements,"Anthropomorphic animal character art with expressive, stylized designs.",Use for anthro character commissions-style renders and mascot design.,"""anthropomorphic fox character, furry art style""",cartoon;illustration,midjourney;nano-banana-pro;gpt-image-2,free,,published,discord-archive-screenshots,2026-07-08
caricature,Caricature,art-styles-movements,Exaggerated portraiture that amplifies a subject's most recognizable features with affection.,Use for humorous portraits and editorial cartooning.,"""caricature of a chef, exaggerated features""",cartoon;comic-art,midjourney;nano-banana-pro;gpt-image-2,free,,published,discord-archive-screenshots,2026-07-08
kinetic-art,Kinetic Art,art-styles-movements,"Art built around real or implied movement: spinning, swaying, optically vibrating forms.",Use for compositions that need motion energy in a still frame.,"""kinetic sculpture in a plaza, sense of motion""",op-art;brushed-metal,midjourney;nano-banana-pro;gpt-image-2,free,,published,discord-archive-screenshots,2026-07-08
ascii-art,ASCII Art,art-styles-movements,Pictures drawn entirely with keyboard characters; terminal-era charm.,Use for retro-computing graphics and text-as-image pieces.,"""cat portrait, ascii art""",binary-art;chiptune,midjourney;nano-banana-pro;gpt-image-2,free,,published,discord-archive-screenshots,2026-07-08
mixed-media,Mixed Media,art-styles-movements,Multiple materials in one work: paint over collage over ink over fabric.,"Use for layered, tactile compositions that resist a single technique.","""portrait, mixed media, paint and newspaper collage""",assemblage;watercolor,midjourney;nano-banana-pro;gpt-image-2,free,,published,discord-archive-screenshots,2026-07-08
found-text-art,Found Text Art,art-styles-movements,"Compositions built from scavenged words: newspaper cutouts, old letters, ransom-note poetry.",Use for typographic collage and text-driven emotional pieces.,"""poem made of newspaper cutouts, found text art""",palimpsest-art;mixed-media,midjourney;nano-banana-pro;gpt-image-2,free,,published,discord-archive-screenshots,2026-07-08
typographic-art,Typographic Art,art-styles-movements,"Letterforms as the artwork itself: type arranged into image, pattern, or portrait.",Use for word-driven posters and letter-built imagery.,"""lion made of typography""",found-text-art;hard-edge-painting,midjourney;nano-banana-pro;gpt-image-2,free,,published,discord-archive-screenshots,2026-07-08
encaustic-art,Encaustic Art,art-styles-movements,"Painting with molten pigmented wax: luminous layers, fused textures, ancient technique.",Use for richly textured abstract or portrait surfaces with depth and glow.,"""seascape, encaustic painting, layered wax""",oil-painting;iridescent,midjourney;nano-banana-pro;gpt-image-2,free,,published,discord-archive-screenshots,2026-07-08
3d-pavement-art,3D Pavement Art,art-styles-movements,Anamorphic chalk illusions on streets that leap into three dimensions from one viewpoint.,Use for playful trompe-l'oeil scenes and street-art spectacle.,"""3d pavement art of a waterfall in a plaza""",anamorphic-art;cityscape,midjourney;nano-banana-pro;gpt-image-2,free,,published,discord-archive-screenshots,2026-07-08
anamorphic-art,Anamorphic Art,art-styles-movements,Distorted imagery that resolves correctly only from a specific angle or reflection.,Use for perspective-trick compositions and hidden-image concepts.,"""anamorphic skull, oblique perspective""",3d-pavement-art;illusion,midjourney;nano-banana-pro;gpt-image-2,free,,published,discord-archive-screenshots,2026-07-08
high-fashion,High Fashion,art-styles-movements,"Editorial runway polish: dramatic styling, sculptural garments, magazine-cover confidence.",Use for fashion editorials and portraits that should look expensive.,"""editorial portrait, high fashion, avant-garde gown""",editorial;opulent,midjourney;nano-banana-pro;gpt-image-2,free,,published,discord-archive-screenshots,2026-07-08
iconography,Iconography,art-styles-movements,"Symbol-dense sacred-art styling: gold leaf, flat perspective, figures loaded with meaning.",Use for reverent stylized portraits and symbolic compositions.,"""portrait in byzantine iconography style, gold leaf""",stained-glass;opulent,midjourney;nano-banana-pro;gpt-image-2,free,,published,discord-archive-screenshots,2026-07-08
child-s-drawing,Child's Drawing,art-styles-movements,"Deliberately naive crayon-and-marker rendering: wobbly lines, wrong proportions, pure joy.","Use for innocence, humor, or emotionally disarming contrast.","""family portrait, child's crayon drawing""",doodle;naive,midjourney;nano-banana-pro;gpt-image-2,free,,published,discord-archive-screenshots,2026-07-08
wabi-sabi,Wabi-Sabi,art-styles-movements,"Japanese aesthetic of imperfection and impermanence: cracked glazes, weathered wood, quiet asymmetry.",Use for serene compositions where flaws are the beauty.,"""tea bowl still life, wabi-sabi""",weathered;serene,midjourney;nano-banana-pro;gpt-image-2,free,,published,discord-archive-screenshots,2026-07-08
photorealism,Photorealism,art-styles-movements,Painting or rendering so precise it reads as photograph; craft as spectacle.,Use when you want painted subjects with camera-level fidelity.,"""street scene, photorealism, oil on canvas""",macro-photography;cityscape,midjourney;nano-banana-pro;gpt-image-2,free,,published,discord-archive-screenshots,2026-07-08
found-object-art,Found Object Art,art-styles-movements,"Everyday objects recontextualized as art, duchampian mischief included.",Use for conceptual still lifes and sculpture from the junk drawer.,"""sculpture of a bird from spoons, found object art""",assemblage;salvage-art,midjourney;nano-banana-pro;gpt-image-2,free,,published,discord-archive-screenshots,2026-07-08
object-oriented-ontology,Object-Oriented Ontology,art-styles-movements,Philosophy-flavored art where things have inner lives: objects depicted as if they matter without us.,Use for uncanny still lifes where the furniture seems to be thinking.,"""portrait of a chair alone in a field, object-oriented ontology""",surrealist-pop;ominous,midjourney;nano-banana-pro;gpt-image-2,free,,published,discord-archive-screenshots,2026-07-08
derivative-art,Derivative Art,art-styles-movements,"Art deliberately made from other art: remix, homage, and quotation as method.",Use for style-mashup experiments and commentary pieces.,"""famous painting reimagined, derivative art remix""",post-modernism;neo-dada,midjourney;nano-banana-pro;gpt-image-2,free,,published,discord-archive-screenshots,2026-07-08
baroque,Baroque,art-styles-movements,"Seventeenth-century drama: deep shadow, rich fabric, motion and emotion at full volume.",Use for theatrical portraits and opulent scenes with serious lighting.,"""banquet scene, baroque painting, dramatic light""",chiaroscuro;opulent,midjourney;nano-banana-pro;gpt-image-2,free,,published,discord-archive-screenshots,2026-07-08
zombie-formalism,Zombie Formalism,art-styles-movements,"Slick, market-friendly abstraction; process-heavy, meaning-light, gallery-wall ready.",Use for contemporary abstract pieces with polished emptiness as the point.,"""large abstract canvas, zombie formalism""",lyrical-abstraction;muted-palette,midjourney;nano-banana-pro;gpt-image-2,free,,published,discord-archive-screenshots,2026-07-08
figurative-expressionism,Figurative Expressionism,art-styles-movements,"Human figures painted with raw, emotional distortion; feeling over anatomy.",Use for intense portraits where the paint carries the psychology.,"""portrait, figurative expressionism, heavy impasto""",oil-painting;fauvism,midjourney;nano-banana-pro;gpt-image-2,free,,published,discord-archive-screenshots,2026-07-08
abject-art,Abject Art,art-styles-movements,Art confronting the discomforting side of the body and decay; beauty's uneasy shadow.,"Use sparingly, for visceral, boundary-pushing fine-art concepts.","""still life of wilted flowers and spilled milk, abject art""",soft-macabre;weathered,midjourney;nano-banana-pro;gpt-image-2,free,,published,discord-archive-screenshots,2026-07-08
funk-art,Funk Art,art-styles-movements,"Irreverent 1960s California movement: crude, funny, ceramic-heavy anti-elegance.","Use for playful, rude-on-purpose sculptural subjects.","""ceramic sculpture of a hamburger, funk art""",found-object-art;cartoon,midjourney;nano-banana-pro;gpt-image-2,free,,published,discord-archive-screenshots,2026-07-08
post-conceptualism,Post Conceptualism,art-styles-movements,"Idea-driven art after conceptualism: the concept matters, but craft is invited back.",Use for smart contemporary pieces balancing thought and object.,"""installation of suspended letters, post-conceptualism""",ontology;typographic-art,midjourney;nano-banana-pro;gpt-image-2,free,,published,discord-archive-screenshots,2026-07-08
neo-rococo,Neo-Rococo,art-styles-movements,"Rococo's frills revived with modern self-awareness: pastel excess, ornamental overload, wink included.",Use for playful ornate interiors and fashion with maximalist charm.,"""boudoir interior, neo-rococo, pastel gilt""",rococo;opulent,midjourney;nano-banana-pro;gpt-image-2,free,,published,discord-archive-screenshots,2026-07-08
barococo,Barococo,art-styles-movements,"Baroque drama plus rococo froth: maximum ornament, zero restraint.",Use when opulence should be turned past tasteful on purpose.,"""palace hall, barococo style, gold everything""",baroque;rococo,midjourney;nano-banana-pro;gpt-image-2,free,,published,discord-archive-screenshots,2026-07-08
rococo,Rococo,art-styles-movements,"Eighteenth-century French lightness: pastel palettes, curling ornament, flirtatious ease.",Use for airy aristocratic scenes and decorative softness.,"""garden party painting, rococo style""",pastel-palette;opulent,midjourney;nano-banana-pro;gpt-image-2,free,,published,discord-archive-screenshots,2026-07-08
algorithmic-art,Algorithmic Art,art-styles-movements,"Art generated by rules and code: systems produce the image, the artist designs the system.",Use for generative patterns and mathematical beauty.,"""generative pattern, algorithmic art, flowing curves""",algorave;binary-art,midjourney;nano-banana-pro;gpt-image-2,free,,published,discord-archive-screenshots,2026-07-08
augmented-reality-art,Augmented Reality Art,art-styles-movements,"Art designed to overlay the physical world: floating layers, digital ghosts in real space.",Use for mixed-reality concepts and holographic scene ideas.,"""sculpture as AR overlay in a park, augmented reality art""",abstract-tech;neon-glow,midjourney;nano-banana-pro;gpt-image-2,free,,published,discord-archive-screenshots,2026-07-08
digital-animation,Digital Animation,art-styles-movements,"Rendered motion-picture styling: smooth gradients, expressive characters, animated-feature polish.",Use for stills that should look like frames from an animated film.,"""animated film still, cozy village morning""",cartoon;volumetric-light,midjourney;nano-banana-pro;gpt-image-2,free,,published,discord-archive-screenshots,2026-07-08
magnetic-art,Magnetic Art,art-styles-movements,"Patterns formed by magnetic force: iron filings, ferrofluid spikes, invisible fields made visible.",Use for scientific-abstract textures and liquid-metal forms.,"""ferrofluid bloom, magnetic art, macro""",macro-photography;brushed-metal,midjourney;nano-banana-pro;gpt-image-2,free,,published,discord-archive-screenshots,2026-07-08
graffito,Graffito,art-styles-movements,"Scratched-surface mark-making: images incised into plaster, paint, or stone.",Use for raw wall-texture art and ancient-meets-street surfaces.,"""figures scratched into plaster wall, graffito""",weathered;palimpsest-art,midjourney;nano-banana-pro;gpt-image-2,free,,published,discord-archive-screenshots,2026-07-08
suminagashi,Suminagashi,art-styles-movements,"Japanese paper marbling: ink floated on water, captured as delicate rings and drifts.",Use for organic flowing textures and meditative abstract backgrounds.,"""suminagashi marbling, indigo ink rings""",watercolor;serene,midjourney;nano-banana-pro;gpt-image-2,free,,published,discord-archive-screenshots,2026-07-08
gothic-americana,Gothic Americana,art-styles-movements,"American gothic dread: lonely farmhouses, crows on wires, faith and dust.",Use for rural-dark storytelling scenes and southern-gothic moods.,"""farmhouse at dusk, gothic americana""",ominous;overcast-light,midjourney;nano-banana-pro;gpt-image-2,free,,published,discord-archive-screenshots,2026-07-08
organic-abstraction,Organic Abstraction,art-styles-movements,"Abstract forms borrowed from nature: cells, seeds, currents, growth without literal subjects.",Use for soft biomorphic compositions and nature-adjacent abstracts.,"""organic abstraction, seed forms, cream and sage""",biomorphic-art;muted-palette,midjourney;nano-banana-pro;gpt-image-2,free,,published,discord-archive-screenshots,2026-07-08
low-poly-art,Low Poly Art,art-styles-movements,Faceted geometric rendering from early 3D: subjects built from visible triangles.,Use for stylized game-art scenes and crystalline landscapes.,"""mountain landscape, low poly art""",hard-edge-painting;jewel-tones,midjourney;nano-banana-pro;gpt-image-2,free,,published,discord-archive-screenshots,2026-07-08
rinpa,Rinpa,art-styles-movements,"Classical Japanese decorative school: gold-leaf grounds, stylized waves and blossoms, flat elegance.",Use for decorative nature scenes with museum-grade Japanese styling.,"""irises on gold leaf, rinpa style""",ukiyo-e-vaporwave;opulent,midjourney;nano-banana-pro;gpt-image-2,free,,published,discord-archive-screenshots,2026-07-08
harlem-renaissance,Harlem Renaissance,art-styles-movements,"1920s Black American artistic flowering: jazz-age portraiture, bold dignity, rhythmic composition.",Use for celebratory historical portraits and jazz-era scenes.,"""jazz club scene, harlem renaissance painting""",art-deco-era;jewel-tones,midjourney;nano-banana-pro;gpt-image-2,free,,published,discord-archive-screenshots,2026-07-08
salvage-art,Salvage Art,art-styles-movements,"Art from rescued materials: driftwood, scrap metal, and discards given second lives.",Use for eco-craft sculpture concepts and weathered assemblage.,"""whale sculpture from driftwood, salvage art""",found-object-art;weathered,midjourney;nano-banana-pro;gpt-image-2,free,,published,discord-archive-screenshots,2026-07-08
naive,Naive,art-styles-movements,"Untrained-artist charm: flattened perspective, honest color, sincerity over technique.",Use for folk-warm scenes that should feel handmade and heartfelt.,"""village festival, naive art painting""",folk-art;childs-drawing,midjourney;nano-banana-pro;gpt-image-2,free,,published,discord-archive-screenshots,2026-07-08
rococo-revival,Rococo Revival,art-styles-movements,Victorian-era rococo comeback: carved curves and ornament with heavier nineteenth-century polish.,Use for plush period interiors and ornate furniture scenes.,"""parlor interior, rococo revival furniture""",victorian-era;opulent,midjourney;nano-banana-pro;gpt-image-2,free,,published,discord-archive-screenshots,2026-07-08
mannerism,Mannerism,art-styles-movements,"Late-Renaissance elegance stretched strange: elongated figures, acidic color, sophisticated unease.","Use for stylized portraits with deliberate, graceful distortion.","""portrait with elongated neck, mannerism style""",baroque;jewel-tones,midjourney;nano-banana-pro;gpt-image-2,free,,published,discord-archive-screenshots,2026-07-08
acid-art,Acid Art,art-styles-movements,"Psychedelic intensity: melting patterns, electric color, perception turned up too far.",Use for trippy posters and hallucinatory landscapes.,"""melting forest, acid art, electric colors""",acidwave;neon-glow,midjourney;nano-banana-pro;gpt-image-2,free,,published,discord-archive-screenshots,2026-07-08
digital-impressionism,Digital Impressionism,art-styles-movements,Impressionist brushwork born digital: loose light-dabbed strokes with modern color freedom.,Use for painterly scenes with soft edges and glowing light.,"""harbor at dawn, digital impressionism""",oil-painting;golden-hour,midjourney;nano-banana-pro;gpt-image-2,free,,published,discord-archive-screenshots,2026-07-08
surrealist-pop,Surrealist Pop,art-styles-movements,Pop-art gloss meets dream logic: familiar icons behaving impossibly.,Use for playful uncanny compositions with commercial shine.,"""giant cherry floating over a diner, surrealist pop""",avant-pop-surrealism;jewel-tones,midjourney;nano-banana-pro;gpt-image-2,free,,published,discord-archive-screenshots,2026-07-08
cyberculture,Cyberculture,art-styles-movements,"Internet-native visual culture: interfaces, avatars, meme textures, and screen-glow life.",Use for online-life commentary pieces and digital-era portraits.,"""portrait made of browser windows, cyberculture""",y2k;abstract-tech,midjourney;nano-banana-pro;gpt-image-2,free,,published,discord-archive-screenshots,2026-07-08
algorave,Algorave,art-styles-movements,Live-coded rave visuals: generative geometry pulsing to algorithmic beats.,Use for music-visual backdrops and code-driven motion energy.,"""algorave visuals, generative geometry, strobe""",algorithmic-art;neon-glow,midjourney;nano-banana-pro;gpt-image-2,free,,published,discord-archive-screenshots,2026-07-08
preppy,Preppy,art-styles-movements,"Collegiate polish: navy blazers, tennis whites, plaid and old-money tidiness.",Use for clean-cut lifestyle scenes and classic campus moods.,"""picnic on a lawn, preppy aesthetic""",editorial;pastel-palette,midjourney;nano-banana-pro;gpt-image-2,free,,published,discord-archive-screenshots,2026-07-08
biomechanical-art,Biomechanical Art,art-styles-movements,Flesh fused with machine in intricate detail; Giger-adjacent dark elegance.,Use for dark sci-fi characters and ornate machine-organism designs.,"""biomechanical portrait, intricate detail""",cybernetic-punk;ominous,midjourney;nano-banana-pro;gpt-image-2,free,,published,discord-archive-screenshots,2026-07-08
eco-art,Eco Art,art-styles-movements,"Environment-centered art practice: living materials, land collaboration, ecological storytelling.",Use for nature-advocacy concepts and land-based installations.,"""river cleaned into an artwork, eco art installation""",land-art;serene,midjourney;nano-banana-pro;gpt-image-2,free,,published,discord-archive-screenshots,2026-07-08
ontology,Ontology,art-styles-movements,Being itself as subject: stark philosophical compositions about existence and thing-ness.,Use for minimal conceptual pieces with quiet existential weight.,"""single door standing in a field, ontological art""",object-oriented-ontology;fog,midjourney;nano-banana-pro;gpt-image-2,free,,published,discord-archive-screenshots,2026-07-08
expressionist-architecture,Expressionist Architecture,art-styles-movements,"Buildings as emotion: sweeping sculptural forms, distorted brick, structures that feel.",Use for dramatic architectural scenes beyond rational modernism.,"""concert hall, expressionist architecture""",neo-gothic;cityscape,midjourney;nano-banana-pro;gpt-image-2,free,,published,discord-archive-screenshots,2026-07-08
folk-art,Folk Art,art-styles-movements,"Traditional community art forms: handmade, decorative, passed down rather than taught in academies.",Use for warm cultural scenes and handcraft-textured illustration.,"""painted wooden horses, folk art""",naive;art-handicrafts,midjourney;nano-banana-pro;gpt-image-2,free,,published,discord-archive-screenshots,2026-07-08
gond-painting,Gond Painting,art-styles-movements,Central Indian tribal art: animals and trees filled with rhythmic dot-and-dash patterns.,Use for pattern-rich nature illustration honoring the Gond tradition.,"""tree of life, gond painting style""",folk-art;jewel-tones,midjourney;nano-banana-pro;gpt-image-2,free,,published,discord-archive-screenshots,2026-07-08
haida-art,Haida Art,art-styles-movements,"Pacific Northwest Indigenous formline art: bold ovoids, split forms, powerful crest animals.",Use for striking formline animal designs in the Haida tradition.,"""raven design, haida formline art""",iconography;hard-edge-painting,midjourney;nano-banana-pro;gpt-image-2,free,,published,discord-archive-screenshots,2026-07-08
hopi-art,Hopi Art,art-styles-movements,"Hopi visual tradition: kachina imagery, pottery motifs, desert palettes with deep symbolism.",Use for respectful Southwest-rooted pattern and pottery scenes.,"""pottery motifs, hopi art tradition""",folk-art;muted-palette,midjourney;nano-banana-pro;gpt-image-2,free,,published,discord-archive-screenshots,2026-07-08
kangra-painting,Kangra Painting,art-styles-movements,"Himalayan miniature school: lyrical romance scenes, delicate faces, lush green landscapes.",Use for tender miniature-style narrative scenes.,"""lovers in a garden, kangra miniature painting""",kishangarh-painting;jewel-tones,midjourney;nano-banana-pro;gpt-image-2,free,,published,discord-archive-screenshots,2026-07-08
kishangarh-painting,Kishangarh Painting,art-styles-movements,"Rajasthani miniature style famed for elongated eyes and elegant, lotus-like profiles.",Use for graceful miniature portraits in the Bani Thani tradition.,"""portrait in kishangarh miniature style""",kangra-painting;opulent,midjourney;nano-banana-pro;gpt-image-2,free,,published,discord-archive-screenshots,2026-07-08
acidwave,Acidwave,art-styles-movements,"Vaporwave's harsher cousin: acid-bright gradients, warped grids, digital hallucination.",Use for retro-digital posters with aggressive color.,"""sunset grid landscape, acidwave""",acid-art;y2k,midjourney;nano-banana-pro;gpt-image-2,free,,published,discord-archive-screenshots,2026-07-08
tonalist,Tonalist,art-styles-movements,"Late-1800s American landscape mood: soft diffused light, muted unified color, dawn-and-dusk reverie.",Use for misty contemplative landscapes where atmosphere outranks detail.,"""marsh at dusk, tonalist painting""",fog;muted-palette,midjourney;nano-banana-pro;gpt-image-2,free,,published,discord-archive-screenshots,2026-07-08
toile,Toile,art-styles-movements,French pastoral scenes printed in single-color repeat on cream; storytelling as pattern.,Use for elegant patterned backgrounds and wallpaper-style illustration.,"""garden scene, toile de jouy pattern, indigo on cream""",victorian-era;line-drawing,midjourney;nano-banana-pro;gpt-image-2,free,,published,discord-archive-screenshots,2026-07-08
naturaleza,Naturaleza,art-styles-movements,"Lush nature-first styling: abundant flora, organic shapes, celebration of living green.",Use for verdant scenes where nature is the whole point.,"""overgrown greenhouse, naturaleza style""",botanical-art;moss-covered,midjourney;nano-banana-pro;gpt-image-2,free,,published,discord-archive-screenshots,2026-07-08
pareidolia,Pareidolia,art-styles-movements,"Faces and figures hiding in things: clouds, bark, sockets that stare back.",Use for playful or eerie hidden-image compositions.,"""forest where trees form faces, pareidolia""",dreamscape;fog,midjourney;nano-banana-pro;gpt-image-2,free,,published,discord-archive-screenshots,2026-07-08
karesansui,Karesansui,art-styles-movements,"Japanese dry rock garden aesthetic: raked gravel, placed stones, emptiness as design.",Use for meditative minimal scenes and zen-garden compositions.,"""karesansui rock garden, raked gravel, dawn""",wabi-sabi;serene,midjourney;nano-banana-pro;gpt-image-2,free,,published,discord-archive-screenshots,2026-07-08
mythological,Mythological,art-styles-movements,"Gods, monsters, and legends rendered with epic-narrative weight.",Use for grand mythic scenes across any culture's canon.,"""sea god rising from waves, mythological painting""",baroque;dreamscape,midjourney;nano-banana-pro;gpt-image-2,free,,published,discord-archive-screenshots,2026-07-08
new-romantic,New Romantic,art-styles-movements,"1980s flamboyant glamour: ruffles, drama makeup, synth-pop theatricality.",Use for bold retro fashion portraits with stage presence.,"""portrait, new romantic fashion, 1981""",high-fashion;jewel-tones,midjourney;nano-banana-pro;gpt-image-2,free,,published,discord-archive-screenshots,2026-07-08
fauvism,Fauvism,art-styles-movements,"Wild early-modern color: nature painted in unapologetic, non-realistic hues.",Use for joyful high-saturation landscapes and portraits.,"""harbor scene, fauvism, wild color""",figurative-expressionism;jewel-tones,midjourney;nano-banana-pro;gpt-image-2,free,,published,discord-archive-screenshots,2026-07-08
biomorphic-art,Biomorphic Art,art-styles-movements,"Abstract forms echoing living shapes: amoebas, kidneys, curves that feel grown not drawn.",Use for soft organic abstraction and mid-century-flavored forms.,"""biomorphic abstract shapes, matisse cutout energy""",organic-abstraction;pastel-palette,midjourney;nano-banana-pro;gpt-image-2,free,,published,discord-archive-screenshots,2026-07-08
